t_end_iso,window_sec,tp,fp,fn,precision,recall,f1,detections,gt_anomalies
2025-10-02T22:50:03.244290+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:50:04.492922+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:50:05.729539+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:50:06.964569+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:50:08.223945+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:50:09.469237+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:50:10.700755+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:50:11.944372+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:50:13.176954+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:50:14.413777+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:50:15.658404+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:50:16.888637+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:18.121443+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:19.350728+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:20.577357+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:50:21.814545+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:50:23.068018+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:24.308383+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:25.543260+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:50:26.789510+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:50:28.023600+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:50:29.268773+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:50:30.522557+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:50:31.750668+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:50:32.974869+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:50:34.214399+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:50:35.447895+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:50:36.688643+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:50:37.947255+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:50:39.192123+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
